address,label,inference_url,status,epochs_completed,total_gonka,attack_e265_e266_gonka,cap_e267_e276_gonka,epochs,onchain_output_gonka,matches_onchain_output
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,http://94.130.64.22:8000,http://94.130.64.22:8000,INACTIVE,0,2602.055674,0.000000,2602.055674,e267,2602.055674,true
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,http://65.108.198.21:8000,http://65.108.198.21:8000,ACTIVE,6,2392.222959,0.000000,2392.222960,"e267,e271,e272",2392.222959,true
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,http://gnk.antifreeze.dev:8000,http://gnk.antifreeze.dev:8000,ACTIVE,9,2293.694675,176.245568,2117.449107,"e266,e270,e271,e272,e273,e275,e276",2293.694675,true
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,http://125.93.200.207:8000,http://125.93.200.207:8000,ACTIVE,27,2034.501081,0.000000,2034.501081,"e267,e275",2034.501081,true
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,http://148.113.47.235:8000,http://148.113.47.235:8000,ACTIVE,16,1805.142498,1805.142498,0.000000,e266,1805.142498,true
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,http://198.244.228.95:8000,http://198.244.228.95:8000,ACTIVE,1,1753.409171,0.000000,1753.409171,"e273,e274",1753.409171,true
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,http://148.113.47.71:8000,http://148.113.47.71:8000,ACTIVE,54,1575.513417,1575.513417,0.000000,e266,1575.513417,true
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,Formula x AI,http://162.55.232.115:8000,ACTIVE,84,1166.439756,1166.439756,0.000000,e266,1166.439756,true
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,gonka-1,http://node1.gonka.ai:8000,ACTIVE,77,1025.259358,0.000000,1025.259358,e267,1025.259358,true
gonka10070xwkwv00sulsa7gdfwkgh8w069stkjjf39x,http://178.105.165.144:8000,http://178.105.165.144:8000,ACTIVE,1,1017.602508,0.000000,1017.602508,e269,1017.602508,true
gonka10075dz43h94zhqu5hwdj3nyjay6v8mzwvpxr0s,http://178.105.169.55:8000,http://178.105.169.55:8000,ACTIVE,1,1017.602508,0.000000,1017.602508,e269,1017.602508,true
gonka1007lnkyhdh7aq0vjdcdwcerkdh4yy85rymjdg6,http://178.105.175.114:8000,http://178.105.175.114:8000,ACTIVE,1,1007.974842,0.000000,1007.974842,e269,1007.974842,true
gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,http://185.70.186.176:8000,http://185.70.186.176:8000,INACTIVE,0,521.637815,521.637815,0.000000,e266,521.637815,true
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,http://202.78.161.246:8000,http://202.78.161.246:8000,INACTIVE,0,279.015575,279.015575,0.000000,e266,279.015575,true
gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,http://202.78.161.100:8000,http://202.78.161.100:8000,INACTIVE,0,276.414091,276.414091,0.000000,e266,276.414091,true
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,http://20.163.111.183:8000,http://20.163.111.183:8000,ACTIVE,1,113.864834,113.864834,0.000000,e266,113.864834,true
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,http://20.171.77.105:8000,http://20.171.77.105:8000,ACTIVE,1,108.366532,108.366532,0.000000,e266,108.366532,true
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,http://64.236.203.236:8000,http://64.236.203.236:8000,ACTIVE,1,100.568940,100.568940,0.000000,e266,100.568940,true
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,http://69.48.159.137:8000/,http://69.48.159.137:8000/,ACTIVE,12,30.990429,30.990429,0.000000,e266,30.990429,true
