source_type,value,confidence,is_attribution_proof,addresses,address_count,total_compensation_gonka,total_voting_power,vote_power_by_option,source_file
participant_inference_url,http://69.48.159.137:8000/,medium,False,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,1,30.990429,278,no_with_veto:278.0,data/participants_by_address.json
validator_moniker,gonkavaloper1gyk0aahvr3qeju4zx0nplfreej6cy4jj28pt0e,high,False,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,1,30.990429,278,no_with_veto:278.0,data/validators.json
participant_inference_url,http://network002.kaitaku.ai:8000,medium,False,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1,0,31063,no_with_veto:31063.0,data/participants_by_address.json
validator_moniker,gonkavaloper1d694r00czmq75txghwjcuk07lxvc8d4e2gps2z,high,False,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1,0,31063,no_with_veto:31063.0,data/validators.json
participant_inference_url,http://94.237.52.191:8000,medium,False,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,1,0,20647,yes:20647.0,data/participants_by_address.json
validator_moniker,gonkavaloper1nmn039cgpkhmkzekpkfz3nkv9tcjckpnf6rr5l,high,False,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,1,0,20647,yes:20647.0,data/validators.json
participant_inference_url,http://46.4.101.189:8000,medium,False,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1,0,5395,no_with_veto:5395.0,data/participants_by_address.json
validator_identity,7B07CCF42FA50009,high,True,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1,0,5395,no_with_veto:5395.0,data/validators.json
validator_moniker,Hyperfusion,high,True,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1,0,5395,no_with_veto:5395.0,data/validators.json
validator_website,https://hyperfusion.io/gonka,medium,False,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1,0,5395,no_with_veto:5395.0,data/validators.json
participant_inference_url,http://84.32.59.212:8000,medium,False,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,1,0,556,no_with_veto:556.0,data/participants_by_address.json
validator_moniker,gonkavaloper1qwfrtz9c7kcrfkrrlne2pkcye74mj6ced3h2pj,high,False,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,1,0,556,no_with_veto:556.0,data/validators.json
participant_inference_url,http://84.32.185.226:8000,medium,False,gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,1,0,490,no_with_veto:490.0,data/participants_by_address.json
validator_moniker,gonkavaloper1m58jds005cttwq2vt0p7yk6vy2aqg254yq3xky,high,False,gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,1,0,490,no_with_veto:490.0,data/validators.json
gns_name,asd.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,its.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,may.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,qwe.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,she.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
